machine,method,submethod,algorithm,iterations,start time,stop time,total time,time per iteration,baseline power,on-load power,total power used,joules per iteration,iterations per joule
pi2,signatures,verification,SLH-DSA-SHA2-192f,100,1775908061,1775908072,11.26875901,0.11268759,1.748954,2.111181,0.362227,0.040818488,24.49870282
pi2,signatures,verification,SLH-DSA-SHAKE-192s,100,1775908278,1775908287,9.026878119,0.090268781,1.748954,2.136837,0.387883,0.035013726,28.56022835
pi2,signatures,verification,SLH-DSA-SHA2-256s,100,1775908405,1775908413,7.821176767,0.078211768,1.748954,2.135305,0.386351,0.030217195,33.09374055
pi2,signatures,verification,SLH-DSA-SHA2-256f,100,1775908452,1775908464,11.52238059,0.115223806,1.748954,2.121891,0.372937,0.042971221,23.27138928
pi2,signatures,verification,SLH-DSA-SHAKE-256s,100,1775908562,1775908573,11.07846999,0.1107847,1.748954,2.134746,0.385792,0.042739851,23.39736751
pi2,TLS handshake,,RSA-2048,100,1775908614,1775908627,12.86559176,0.128655918,1.748954,2.148123,0.399169,0.051355454,19.47212851
pi2,TLS handshake,,ECDSA P-256,100,1775908658,1775908666,8.092259169,0.080922592,1.748954,2.173883,0.424929,0.034386356,29.08130193
pi2,TLS handshake,,ML-DSA-44,100,1775908686,1775908695,8.869413137,0.088694131,1.748954,2.160949,0.411995,0.036541539,27.36611639
pi2,TLS handshake,,ML-DSA-65,100,1775908727,1775908737,9.758812428,0.097588124,1.748954,2.162468,0.413514,0.040354056,24.78065673
pi2,TLS handshake,,ML-DSA-87,100,1775908764,1775908774,9.574740171,0.095747402,1.748954,2.179268,0.430314,0.041201447,24.27099198
