machine,method,submethod,algorithm,iterations,start time,stop time,total time,time per iteration,baseline power,on-load power,total power used,joules per iteration,iterations per joule
pi2b,signatures,verification,SLH-DSA-SHA2-128f,100,1775912544,1775912549,4.817796946,0.048177969,1.738198,2.262897,0.524699,0.025278932,39.55863263
pi2b,signatures,verification,SLH-DSA-SHAKE-128s,100,1775912629,1775912632,3.37344718,0.033734472,1.738198,2.25939,0.521192,0.017582137,56.8759082
pi2b,signatures,verification,SLH-DSA-SHA2-192s,100,1775912672,1775912676,3.850877762,0.038508778,1.738198,2.263512,0.525314,0.0202292,49.43349217
pi2b,signatures,verification,SLH-DSA-SHA2-192f,100,1775912703,1775912709,5.885874987,0.05885875,1.738198,2.270207,0.532009,0.031313385,31.93522549
pi2b,signatures,verification,SLH-DSA-SHAKE-192s,100,1775912747,1775912751,3.730469704,0.037304697,1.738198,2.257888,0.51969,0.019386878,51.5812809
pi2b,signatures,verification,SLH-DSA-SHA2-256s,100,1775912803,1775912808,4.316380978,0.04316381,1.738198,2.256468,0.51827,0.022370508,44.70171235
pi2b,signatures,verification,SLH-DSA-SHA2-256f,100,1775912829,1775912835,5.958429337,0.059584293,1.738198,2.260264,0.522066,0.031106934,32.14717367
pi2b,signatures,verification,SLH-DSA-SHAKE-256s,100,1775912880,1775912884,4.188153505,0.041881535,1.738198,2.25564,0.517442,0.021671265,46.14405241
pi2b,TLS handshake,,RSA-2048,100,1775912918,1775912924,6.080678463,0.060806785,1.738198,2.229777,0.491579,0.029891338,33.45450736
pi2b,TLS handshake,,ECDSA P-256,100,1775912939,1775912944,4.978096724,0.049780967,1.738198,2.265642,0.527444,0.026256672,38.08555713
pi2b,TLS handshake,,ML-DSA-44,100,1775912960,1775912965,5.425677538,0.054256775,1.738198,2.264446,0.526248,0.02855252,35.02317892
pi2b,TLS handshake,,ML-DSA-65,100,1775912982,1775912988,5.953516722,0.059535167,1.738198,2.271092,0.532894,0.031725933,31.51995522
pi2b,TLS handshake,,ML-DSA-87,100,1775913004,1775913010,5.775255203,0.057752552,1.738198,2.295722,0.557524,0.032198434,31.05741123
