machine,method,submethod,algorithm,iterations,start time,stop time,start time (unix),stop time (unix),total time,time per iteration,baseline power,on-load power,total power used,joules per iteration,iterations per joule
pi3,signatures,verification,ML-DSA-65,100,12:22.0,12:24.0,1775837542,1775837544,2.018225908,0.020182259,0.959219,1.959306,1.000087,0.020184015,49.54415675
pi3,signatures,verification,ML-DSA-87,100,13:06.2,13:08.4,1775837586,1775837588,2.105781555,0.021057816,0.959219,1.938528,0.979309,0.020622108,48.49164721
pi3,signatures,verification,SLH-DSA-SHA2-128s,100,14:13.6,14:16.0,1775837654,1775837656,2.375294447,0.023752944,0.959219,1.937229,0.97801,0.023230617,43.04663929
pi3,signatures,verification,SLH-DSA-SHA2-128f,100,14:42.2,14:45.4,1775837682,1775837685,3.237446785,0.032374468,0.959219,1.943322,0.984103,0.031859811,31.38750578
pi3,signatures,verification,SLH-DSA-SHAKE-128s,100,15:26.6,15:28.8,1775837727,1775837729,2.270243406,0.022702434,0.959219,1.962957,1.003738,0.022787296,43.8841015
pi3,signatures,verification,SLH-DSA-SHA2-192s,100,16:16.8,16:19.4,1775837777,1775837779,2.548330069,0.025483301,0.959219,1.962033,1.002814,0.025555011,39.13126909
pi3,signatures,verification,SLH-DSA-SHA2-192f,100,17:15.9,17:19.8,1775837836,1775837840,3.874631882,0.038746319,0.959219,1.958234,0.999015,0.038708154,25.83435025
pi3,signatures,verification,SLH-DSA-SHAKE-192s,100,17:57.4,17:59.9,1775837877,1775837880,2.460643291,0.024606433,0.959219,1.942065,0.982846,0.024184334,41.34908132
pi3,signatures,verification,SLH-DSA-SHA2-256s,100,18:43.1,18:46.0,1775837923,1775837926,2.930985212,0.029309852,0.959219,1.947662,0.988443,0.028971118,34.51713511
pi3,signatures,verification,SLH-DSA-SHA2-256f,100,19:15.3,19:19.2,1775837955,1775837959,3.866745472,0.038667455,0.959219,1.955719,0.9965,0.038532119,25.9523752
pi3,signatures,verification,SLH-DSA-SHAKE-256s,100,20:02.6,20:05.3,1775838003,1775838005,2.744917154,0.027449172,0.959219,1.918184,0.958965,0.026322795,37.98988702
pi3,TLS handshake,,RSA-2048,100,20:48.3,20:52.4,1775838048,1775838052,4.070520163,0.040705202,0.959219,1.981689,1.02247,0.041619848,24.02699817
pi3,TLS handshake,,ECDSA P-256,100,21:16.3,21:19.6,1775838076,1775838080,3.372163057,0.033721631,0.959219,1.978331,1.019112,0.034366118,29.09842738
pi3,TLS handshake,,ML-DSA-44,100,21:48.9,21:52.5,1775838109,1775838112,3.625020742,0.036250207,0.959219,1.983125,1.023906,0.037116805,26.94197421
pi3,TLS handshake,,ML-DSA-65,100,22:49.4,22:53.4,1775838169,1775838173,4.058716774,0.040587168,0.959219,1.987435,1.028216,0.041732375,23.96221144
pi3,TLS handshake,,ML-DSA-87,100,23:14.8,23:18.8,1775838195,1775838199,3.924128294,0.039241283,0.959219,1.972954,1.013735,0.039780262,25.13809489
