machine,method,submethod,algorithm,iterations,start time,stop time,start time (unix),stop time (unix),total time,time per iteration,baseline power,on-load power,total power used,joules per iteration,iterations per joule
pizero,key generation,,RSA-2048,100,24:59.8,31:40.2,1775827500,1775827900,400.399344,4.00399344,0.56376,0.94748,0.38372,1.536412363,0.650866931
pizero,key generation,,ECDSA P-256,100,32:51.7,33:06.2,1775827972,1775827986,14.55582166,0.145558217,0.56378,0.901316,0.337536,0.049131138,20.35369089
pizero,key generation,,X25519,100,54:46.3,55:00.8,1775829286,1775829301,14.45730186,0.144573019,0.56378,0.909586,0.345806,0.049994217,20.00231337
pizero,key generation,,ECDH P-256,100,57:08.4,57:23.0,1775829428,1775829443,14.58897996,0.1458898,0.56376,0.9064,0.34264,0.049987681,20.00492884
pizero,key generation,,ML-KEM-512,100,00:43.9,00:58.8,1775829644,1775829659,14.91849732,0.149184973,0.56376,0.910241,0.346481,0.051689759,19.34619207
pizero,key generation,,ML-KEM-768,100,02:00.9,02:15.9,1775829721,1775829736,15.06177711,0.150617771,0.56376,0.915744,0.351984,0.053015046,18.86256985
pizero,key generation,,ML-KEM-1024,100,03:57.1,04:12.3,1775829837,1775829852,15.22228122,0.152222812,0.56376,0.913599,0.349839,0.053253476,18.77811681
pizero,key generation,,ML-DSA-44,100,07:25.6,07:41.0,1775830046,1775830061,15.35804629,0.153580463,0.56376,0.901872,0.338112,0.051927397,19.25765681
pizero,key generation,,ML-DSA-65,100,20:51.6,21:07.3,1775830852,1775830867,15.77966881,0.157796688,0.56376,0.91714,0.35338,0.055762194,17.93329736
pizero,key generation,,ML-DSA-87,100,22:12.3,22:28.6,1775830932,1775830949,16.31128883,0.163112888,0.56376,0.904639,0.340879,0.055601758,17.98504276
pizero,key generation,,SLH-DSA-SHA2-128s,100,23:22.0,27:56.0,1775831002,1775831276,274.0322137,2.740322137,0.56376,0.898843,0.335083,0.918235363,1.089045402
pizero,key generation,,SLH-DSA-SHA2-128f,100,31:03.6,31:22.5,1775831464,1775831483,18.87058783,0.188705878,0.56376,0.905203,0.341443,0.064432301,15.52016584
pizero,key generation,,SLH-DSA-SHAKE-128s,100,32:04.8,40:00.8,1775831525,1775832001,475.959969,4.75959969,0.56376,0.940959,0.377199,1.795316244,0.557004931
pizero,key generation,,SLH-DSA-SHA2-192s,100,41:00.0,47:39.7,1775832060,1775832460,399.725678,3.99725678,0.56376,0.917573,0.353813,1.414281413,0.707072858
pizero,key generation,,SLH-DSA-SHA2-192f,100,48:39.0,48:59.8,1775832519,1775832540,20.82484508,0.208248451,0.56376,0.901531,0.337771,0.070340287,14.21660383
pizero,key generation,,SLH-DSA-SHAKE-192s,100,49:53.0,01:21.8,1775832593,1775833282,688.7213104,6.887213104,0.56376,0.942609,0.378849,2.609213797,0.38325721
pizero,key generation,,SLH-DSA-SHA2-256s,100,02:10.1,06:40.9,1775833330,1775833601,270.7279932,2.707279932,0.56376,0.902416,0.338656,0.916836593,1.090706902
pizero,key generation,,SLH-DSA-SHA2-256f,100,07:30.8,08:01.7,1775833651,1775833682,30.87293148,0.308729315,0.56376,0.910003,0.346243,0.106895364,9.354942639
pizero,key generation,,SLH-DSA-SHAKE-256s,100,08:25.9,16:03.1,1775833706,1775834163,457.1395104,4.571395104,0.56376,0.93553,0.37177,1.699507558,0.588405739
pizero,signatures,signing,RSA-2048,100,17:00.9,17:14.5,1775834221,1775834235,13.59629822,0.135962982,0.56376,0.915881,0.352121,0.047875421,20.88754467
pizero,signatures,signing,ECDSA P-256,100,17:38.5,17:46.1,1775834259,1775834266,7.598270655,0.075982707,0.56376,0.903495,0.339735,0.025813985,38.73869174
pizero,signatures,signing,ML-DSA-44,100,18:14.0,18:23.0,1775834294,1775834303,8.993547916,0.089935479,0.56376,0.919123,0.355363,0.031959742,31.28936429
pizero,signatures,signing,ML-DSA-65,100,19:21.3,19:30.8,1775834361,1775834371,9.509472609,0.095094726,0.56376,0.906041,0.342281,0.032549118,30.72279875
pizero,signatures,signing,ML-DSA-87,100,20:45.8,20:56.6,1775834446,1775834457,10.8663497,0.108663497,0.56376,0.918404,0.354644,0.038536857,25.94918403
pizero,signatures,signing,SLH-DSA-SHA2-128s,10,50:33.6,53:50.9,1775893834,1775894031,197.3400929,19.73400929,0.53676,0.902735,0.365975,7.22215405,0.138462845
pizero,signatures,signing,SLH-DSA-SHA2-128f,10,54:43.6,54:53.9,1775894084,1775894094,10.29821539,1.029821539,0.53676,0.903403,0.366643,0.377576858,2.648467398
pizero,signatures,signing,SLH-DSA-SHAKE-128s,10,55:59.4,01:53.5,1775894159,1775894513,354.0373282,35.40373282,0.53676,0.955826,0.419066,14.8365007,0.067401338
pizero,signatures,signing,SLH-DSA-SHA2-192s,10,02:57.4,09:22.1,1775894577,1775894962,384.7628491,38.47628491,0.53676,0.903164,0.366404,14.0978647,0.070932728
pizero,signatures,signing,SLH-DSA-SHA2-192f,10,09:49.2,10:06.6,1775894989,1775895007,17.41964197,1.741964197,0.53676,0.907561,0.370801,0.645922066,1.548174389
pizero,signatures,signing,SLH-DSA-SHAKE-192s,10,10:54.1,21:10.7,1775895054,1775895671,616.6523223,61.66523223,0.53676,0.938331,0.401571,24.76296897,0.04038288
pizero,signatures,signing,SLH-DSA-SHA2-256s,10,21:59.1,27:56.2,1775895719,1775896076,357.1581304,35.71581304,0.53676,0.907245,0.370485,13.23217299,0.075573377
pizero,signatures,signing,SLH-DSA-SHA2-256f,10,28:43.0,29:18.7,1775896123,1775896159,35.77997208,3.577997208,0.53676,0.914281,0.377521,1.350769084,0.740318987
pizero,signatures,signing,SLH-DSA-SHAKE-256s,10,29:50.0,38:50.6,1775896190,1775896731,540.6239493,54.06239493,0.53676,0.940151,0.403391,21.80828355,0.045854136
pizero,signatures,verification,RSA-2048,100,39:47.6,39:53.6,1775896788,1775896794,5.952975035,0.05952975,0.53676,0.884379,0.347619,0.020693672,48.32395073
pizero,signatures,verification,ECDSA P-256,100,40:16.3,40:22.4,1775896816,1775896822,6.181523323,0.061815233,0.53676,0.89321,0.35645,0.02203404,45.38432377
pizero,signatures,verification,ML-DSA-44,100,40:41.2,40:47.5,1775896841,1775896848,6.340272665,0.063402727,0.53676,0.881209,0.344449,0.021839006,45.78963024
pizero,signatures,verification,ML-DSA-65,100,41:45.1,41:51.7,1775896905,1775896912,6.552026749,0.065520267,0.53676,0.887742,0.350982,0.022996435,43.48500195
pizero,signatures,verification,ML-DSA-87,100,42:46.4,42:53.3,1775896966,1775896973,6.88258481,0.068825848,0.53676,0.895018,0.358258,0.024657411,40.55575878
pizero,signatures,verification,SLH-DSA-SHA2-128s,100,43:40.2,43:48.2,1775897020,1775897028,8.019482136,0.080194821,0.53676,0.883883,0.347123,0.027837467,35.92280867
pizero,signatures,verification,SLH-DSA-SHA2-128f,100,44:40.5,44:52.4,1775897081,1775897092,11.87844801,0.11878448,0.53676,0.881134,0.344374,0.040906287,24.44612025
pizero,signatures,verification,SLH-DSA-SHAKE-128s,100,46:26.5,46:36.1,1775897187,1775897196,9.607105255,0.096071053,0.53676,0.895848,0.359088,0.034497962,28.98721949
pizero,signatures,verification,SLH-DSA-SHA2-192s,100,48:11.5,48:20.8,1775897291,1775897301,9.314298153,0.093142982,0.53676,0.886103,0.349343,0.032538849,30.73249494
pizero,signatures,verification,SLH-DSA-SHA2-192f,100,49:55.4,50:10.6,1775897395,1775897411,15.24158382,0.152415838,0.53676,0.894775,0.358015,0.054567156,18.32604202
pizero,signatures,verification,SLH-DSA-SHAKE-192s,100,52:54.5,53:05.7,1775897574,1775897586,11.24665999,0.1124666,0.53676,0.907816,0.371056,0.041731407,23.96276759
pizero,signatures,verification,SLH-DSA-SHA2-256s,100,54:17.9,54:29.1,1775897658,1775897669,11.13302016,0.111330202,0.53676,0.889342,0.352582,0.039253025,25.47574349
pizero,signatures,verification,SLH-DSA-SHA2-256f,100,55:01.0,55:16.8,1775897701,1775897717,15.74459028,0.157445903,0.53676,0.924311,0.387551,0.061018317,16.38852148
pizero,signatures,verification,SLH-DSA-SHAKE-256s,100,57:00.8,57:14.2,1775897821,1775897834,13.4396503,0.134396503,0.53676,0.908136,0.371376,0.049911636,20.0354083
pizero,TLS handshake,,RSA-2048,100,58:06.9,58:24.7,1775897887,1775897905,17.74348712,0.177434871,0.53676,0.909589,0.372829,0.066152866,15.11650313
pizero,TLS handshake,,ECDSA P-256,100,00:19.9,00:32.5,1775898020,1775898033,12.56286716,0.125628672,0.53676,0.910312,0.373552,0.046928842,21.30885756
pizero,TLS handshake,,ML-DSA-44,100,02:25.4,02:39.3,1775898145,1775898159,13.93083119,0.139308312,0.53676,0.910312,0.373552,0.052038899,19.21639443
pizero,TLS handshake,,ML-DSA-65,100,03:09.0,03:24.0,1775898189,1775898204,15.0741117,0.150741117,0.53676,0.896575,0.359815,0.054238915,18.43694697
pizero,TLS handshake,,ML-DSA-87,100,04:23.5,04:39.6,1775898264,1775898280,16.11199188,0.161119919,0.53676,0.906396,0.369636,0.059555722,16.79099776
