machine,method,submethod,algorithm,iterations,start time,stop time,start time (unix),stop time (unix),total time,time per iteration,baseline power,on-load power,total power used,joules per iteration,iterations per joule
OliWin,signatures,verification,ML-DSA-87,1,2026-03-26 14:32:31.384808,2026-03-26 14:32:31.397008,1774535551.3848078,1774535551.3970077,0.012199878692626953,0.012199878692626953,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-128s,1,2026-03-26 14:32:31.462862,2026-03-26 14:32:31.715102,1774535551.462862,1774535551.7151024,0.2522404193878174,0.2522404193878174,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-128s,1,2026-03-26 14:32:32.048301,2026-03-26 14:32:32.063308,1774535552.048301,1774535552.0633082,0.015007257461547852,0.015007257461547852,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-128f,1,2026-03-26 14:32:32.093003,2026-03-26 14:32:32.117203,1774535552.0930026,1774535552.1172025,0.024199962615966797,0.024199962615966797,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-128f,1,2026-03-26 14:32:32.164098,2026-03-26 14:32:32.175514,1774535552.1640975,1774535552.1755137,0.011416196823120117,0.011416196823120117,,,,,
OliWin,signatures,signing,SLH-DSA-SHAKE-128s,1,2026-03-26 14:32:32.286625,2026-03-26 14:32:32.960711,1774535552.2866254,1774535552.9607108,0.6740853786468506,0.6740853786468506,,,,,
OliWin,signatures,verification,SLH-DSA-SHAKE-128s,1,2026-03-26 14:32:33.723618,2026-03-26 14:32:33.734043,1774535553.7236178,1774535553.734043,0.010425090789794922,0.010425090789794922,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-192s,1,2026-03-26 14:32:33.802283,2026-03-26 14:32:34.301980,1774535553.8022828,1774535554.3019795,0.4996967315673828,0.4996967315673828,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-192s,1,2026-03-26 14:32:34.867170,2026-03-26 14:32:34.879637,1774535554.8671699,1774535554.8796375,0.012467622756958008,0.012467622756958008,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-192f,1,2026-03-26 14:32:34.909496,2026-03-26 14:32:34.948119,1774535554.9094958,1774535554.9481194,0.03862357139587402,0.03862357139587402,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-192f,1,2026-03-26 14:32:35.013540,2026-03-26 14:32:35.030942,1774535555.01354,1774535555.0309422,0.017402172088623047,0.017402172088623047,,,,,
OliWin,signatures,signing,SLH-DSA-SHAKE-192s,1,2026-03-26 14:32:35.187730,2026-03-26 14:32:36.366285,1774535555.18773,1774535556.3662846,1.1785545349121094,1.1785545349121094,,,,,
OliWin,signatures,verification,SLH-DSA-SHAKE-192s,1,2026-03-26 14:32:37.654094,2026-03-26 14:32:37.666056,1774535557.6540935,1774535557.6660562,0.011962652206420898,0.011962652206420898,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-256s,1,2026-03-26 14:32:37.717955,2026-03-26 14:32:38.192149,1774535557.717955,1774535558.1921487,0.4741935729980469,0.4741935729980469,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-256s,1,2026-03-26 14:32:38.696328,2026-03-26 14:32:38.709085,1774535558.6963282,1774535558.7090852,0.012757062911987305,0.012757062911987305,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-256f,1,2026-03-26 14:32:38.731082,2026-03-26 14:32:38.786222,1774535558.7310824,1774535558.7862217,0.05513930320739746,0.05513930320739746,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-256f,1,2026-03-26 14:32:38.863106,2026-03-26 14:32:38.875980,1774535558.8631065,1774535558.8759797,0.012873172760009766,0.012873172760009766,,,,,
OliWin,signatures,signing,SLH-DSA-SHAKE-256s,1,2026-03-26 14:32:38.986343,2026-03-26 14:32:39.999174,1774535558.9863434,1774535559.999174,1.0128307342529297,1.0128307342529297,,,,,
OliWin,signatures,verification,SLH-DSA-SHAKE-256s,1,2026-03-26 14:32:41.103891,2026-03-26 14:32:41.121292,1774535561.1038914,1774535561.1212924,0.01740097999572754,0.01740097999572754,,,,,
OliWin,TLS handshake,,RSA-2048,1,2026-03-26 14:32:41.755117,2026-03-26 14:32:41.765954,1774535561.755117,1774535561.7659543,0.01083683967590332,0.01083683967590332,,,,,
OliWin,TLS handshake,,ECDSA P-256,1,2026-03-26 14:32:42.290896,2026-03-26 14:32:42.299545,1774535562.290896,1774535562.299545,0.008648395538330078,0.008648395538330078,,,,,
OliWin,TLS handshake,,ML-DSA-44,1,2026-03-26 14:32:42.840830,2026-03-26 14:32:42.848153,1774535562.84083,1774535562.8481529,0.007321834564208984,0.007321834564208984,,,,,
OliWin,TLS handshake,,ML-DSA-65,1,2026-03-26 14:32:43.378275,2026-03-26 14:32:43.387096,1774535563.3782754,1774535563.3870964,0.008819818496704102,0.008819818496704102,,,,,
OliWin,TLS handshake,,ML-DSA-87,1,2026-03-26 14:32:43.920416,2026-03-26 14:32:43.932023,1774535563.920416,1774535563.9320228,0.011605501174926758,0.011605501174926758,,,,,
